Avg closeness: 0.5062158844708677

Gene	closeness
AC011518.1	1.0
CDK17	0.8095238095238095
MTAP	0.6976241900647948
LINC02398	0.6140684410646388
SENP2	0.5894160583941606
LINC00211	0.5347682119205298
TGFB2	0.5046875
SDCCAG8	0.5046875
RERE	0.5046875
POU2F1	0.5046875
PIK3R3	0.5046875
PBX1	0.5046875
NAV1	0.5046875
LINC01762	0.5046875
LINC01320	0.5046875
LAMC1	0.5046875
DNM3	0.5046875
DNAJB4	0.5046875
CDC42BPA	0.5046875
CD160	0.5046875
CAPZA1	0.5046875
CAMTA1	0.5046875
ARHGAP29	0.5046875
AL445466.1	0.5046875
AGT	0.5046875
ZNF692	0.5039001560062403
ZBTB38	0.5039001560062403
WNT3A	0.5039001560062403
VPS54	0.5039001560062403
TDRD5	0.5039001560062403
TASOR	0.5039001560062403
SULT1C3	0.5039001560062403
SPR	0.5039001560062403
RPS27	0.5039001560062403
RPL24P7	0.5039001560062403
RPL17P12	0.5039001560062403
PRSS44P	0.5039001560062403
PRDM16	0.5039001560062403
PPP4R3B	0.5039001560062403
PLCXD2	0.5039001560062403
PFKFB2	0.5039001560062403
PDE1A	0.5039001560062403
PABPC4	0.5039001560062403
MIR4421	0.5039001560062403
MECR	0.5039001560062403
MDM4	0.5039001560062403
LRRC8C	0.5039001560062403
LINC01940	0.5039001560062403
LINC01738	0.5039001560062403
HAX1	0.5039001560062403
GRM7	0.5039001560062403
GPATCH2	0.5039001560062403
GMPPA	0.5039001560062403
EML4	0.5039001560062403
DENND6A-DT	0.5039001560062403
COLEC11	0.5039001560062403
CLCNKA	0.5039001560062403
AL445648.1	0.5039001560062403
AL139420.2	0.5039001560062403
ADORA1	0.5039001560062403
ADAMTS9	0.5039001560062403
ACVR1C	0.5039001560062403
ACTBP13	0.5039001560062403
ACMSD	0.5039001560062403
AC099535.1	0.5039001560062403
AC092484.1	0.5039001560062403
AC018866.2	0.5039001560062403
AC016745.1	0.5039001560062403
ZC3HC1	0.5031152647975078
ZAP70	0.5031152647975078
Z98880.1	0.5031152647975078
UBE2E3	0.5031152647975078
TRMT10C	0.5031152647975078
TNS1	0.5031152647975078
TMEM44	0.5031152647975078
TEX41	0.5031152647975078
TBC1D19	0.5031152647975078
SNX31	0.5031152647975078
SLC8A1	0.5031152647975078
SLC35F1	0.5031152647975078
SLC25A5P9	0.5031152647975078
SLC25A37	0.5031152647975078
SELENOKP3	0.5031152647975078
SCN2A	0.5031152647975078
RNU6-1145P	0.5031152647975078
RBMS3	0.5031152647975078
RAPGEF5	0.5031152647975078
PTK2	0.5031152647975078
PLK2	0.5031152647975078
PLEKHG1	0.5031152647975078
PKHD1	0.5031152647975078
PDE10A	0.5031152647975078
OSGIN2	0.5031152647975078
OPRM1	0.5031152647975078
NUDT3	0.5031152647975078
NOS3	0.5031152647975078
MXD3	0.5031152647975078
MRAS	0.5031152647975078
MLF1	0.5031152647975078
MINDY4	0.5031152647975078
MERTK	0.5031152647975078
MECOM	0.5031152647975078
MARK2P10	0.5031152647975078
MAP3K20	0.5031152647975078
LINC01890	0.5031152647975078
KLF7	0.5031152647975078
KCNK5	0.5031152647975078
HSPA4	0.5031152647975078
HFE	0.5031152647975078
GTF2I	0.5031152647975078
GRIFIN	0.5031152647975078
GPR20	0.5031152647975078
GNB4	0.5031152647975078
FGF5	0.5031152647975078
FAHD2CP	0.5031152647975078
EXOC6B	0.5031152647975078
ENPEP	0.5031152647975078
DGKB	0.5031152647975078
DENND2A	0.5031152647975078
CYP27A1	0.5031152647975078
CPEB4	0.5031152647975078
CDC25A	0.5031152647975078
CCM2	0.5031152647975078
CCDC141	0.5031152647975078
CACNA1D	0.5031152647975078
BCKDHB	0.5031152647975078
AUTS2	0.5031152647975078
ATXN7	0.5031152647975078
ARHGAP15	0.5031152647975078
ARAP2	0.5031152647975078
AL592429.2	0.5031152647975078
AL591518.1	0.5031152647975078
AL356534.1	0.5031152647975078
AL157371.2	0.5031152647975078
AL121981.1	0.5031152647975078
AKR1B10	0.5031152647975078
AGPAT4	0.5031152647975078
AC116366.3	0.5031152647975078
AC109925.1	0.5031152647975078
AC108047.1	0.5031152647975078
AC068985.1	0.5031152647975078
AC023347.1	0.5031152647975078
AC016735.1	0.5031152647975078
AC009498.1	0.5031152647975078
AC009480.2	0.5031152647975078
AC009296.1	0.5031152647975078
AC007652.2	0.5031152647975078
AC007100.1	0.5031152647975078
ZNF462	0.5023328149300156
ZFAT	0.5023328149300156
ZFAND2A	0.5023328149300156
WAC	0.5023328149300156
UBE2D3	0.5023328149300156
SYNPO2	0.5023328149300156
STN1	0.5023328149300156
SORBS3	0.5023328149300156
SLC7A2	0.5023328149300156
SLC39A8	0.5023328149300156
SH3TC2	0.5023328149300156
RGS17	0.5023328149300156
RAPSN	0.5023328149300156
PTPRD	0.5023328149300156
POLN	0.5023328149300156
POLD3	0.5023328149300156
PKD2L1	0.5023328149300156
PHIP	0.5023328149300156
PDE5A	0.5023328149300156
PALM2AKAP2	0.5023328149300156
MCPH1	0.5023328149300156
LY6E-DT	0.5023328149300156
LRRC10B	0.5023328149300156
LMO1	0.5023328149300156
LINC02235	0.5023328149300156
LINC01339	0.5023328149300156
LINC01006	0.5023328149300156
LEF1	0.5023328149300156
KIF2A	0.5023328149300156
IRX1	0.5023328149300156
IGFBP7	0.5023328149300156
GUCY1A1	0.5023328149300156
GABBR1	0.5023328149300156
GAB2	0.5023328149300156
FRK	0.5023328149300156
EXOC5P1	0.5023328149300156
EIF2AP4	0.5023328149300156
DUSP1	0.5023328149300156
DPYSL2	0.5023328149300156
DCDC1	0.5023328149300156
CYP2C19	0.5023328149300156
CLPB	0.5023328149300156
CABCOCO1	0.5023328149300156
C1GALT1	0.5023328149300156
BTRC	0.5023328149300156
BEND7	0.5023328149300156
BANK1	0.5023328149300156
BAG3	0.5023328149300156
AZIN1	0.5023328149300156
ARNTL	0.5023328149300156
ARHGEF17	0.5023328149300156
AP001533.1	0.5023328149300156
AP000820.2	0.5023328149300156
AL590226.2	0.5023328149300156
AL353614.1	0.5023328149300156
AL136367.1	0.5023328149300156
AL035467.2	0.5023328149300156
AEBP2	0.5023328149300156
ADO	0.5023328149300156
AC109322.2	0.5023328149300156
AC106822.1	0.5023328149300156
AC098588.2	0.5023328149300156
UBASH3B	0.5015527950310559
SWAP70	0.5015527950310559
SSPN	0.5015527950310559
SOX6	0.5015527950310559
SORCS3	0.5015527950310559
SIK2	0.5015527950310559
RIMKLB	0.5015527950310559
REEP3	0.5015527950310559
OR51E1	0.5015527950310559
NTN4	0.5015527950310559
NACA	0.5015527950310559
MYEOV	0.5015527950310559
MXI1	0.5015527950310559
LRP4	0.5015527950310559
HRCT1	0.5015527950310559
HDAC7	0.5015527950310559
GXYLT1	0.5015527950310559
GDF2	0.5015527950310559
FRS2	0.5015527950310559
FAM186A	0.5015527950310559
EPC1	0.5015527950310559
DENND2B	0.5015527950310559
DBH	0.5015527950310559
CTBP2	0.5015527950310559
CERS5	0.5015527950310559
CCKBR	0.5015527950310559
CACNB2	0.5015527950310559
CACNA1C	0.5015527950310559
C11orf24	0.5015527950310559
BDNF	0.5015527950310559
ASTN2	0.5015527950310559
ARHGAP42	0.5015527950310559
ANO1	0.5015527950310559
ANK3	0.5015527950310559
ADRB1	0.5015527950310559
AC126178.1	0.5015527950310559
AC055878.1	0.5015527950310559
AC006206.2	0.5015527950310559
ZSCAN2	0.5007751937984496
ZNF652	0.5007751937984496
ZNF423	0.5007751937984496
ZNF101	0.5007751937984496
ZNF100	0.5007751937984496
ZFP36L1	0.5007751937984496
YPEL3	0.5007751937984496
WDR90	0.5007751937984496
UMOD	0.5007751937984496
TPTE2P5	0.5007751937984496
TMEM107	0.5007751937984496
TM6SF1	0.5007751937984496
THSD4	0.5007751937984496
STARD6	0.5007751937984496
SNX6	0.5007751937984496
SLCO3A1	0.5007751937984496
SLC9A3R2	0.5007751937984496
SH2B3	0.5007751937984496
SEPTIN9	0.5007751937984496
SBNO1	0.5007751937984496
RXFP2	0.5007751937984496
RPS4XP18	0.5007751937984496
RPS27P25	0.5007751937984496
RNASEH2B	0.5007751937984496
RGL3	0.5007751937984496
PPM1E	0.5007751937984496
PPL	0.5007751937984496
PLEKHH1	0.5007751937984496
PIEZO2	0.5007751937984496
PIAS1	0.5007751937984496
PDP2	0.5007751937984496
PCDH17	0.5007751937984496
NRG4	0.5007751937984496
NEDD4L	0.5007751937984496
NCOR2	0.5007751937984496
MYO9B	0.5007751937984496
MMP14	0.5007751937984496
MLXIP	0.5007751937984496
MGA	0.5007751937984496
MBNL2	0.5007751937984496
MARK3	0.5007751937984496
LINC01975	0.5007751937984496
LINC01571	0.5007751937984496
LINC01169	0.5007751937984496
KLF2	0.5007751937984496
KIF26A	0.5007751937984496
KANK3	0.5007751937984496
INO80	0.5007751937984496
HAS3	0.5007751937984496
FES	0.5007751937984496
FBXL19	0.5007751937984496
DPF3	0.5007751937984496
DPEP1	0.5007751937984496
DACH1	0.5007751937984496
CSK	0.5007751937984496
CMIP	0.5007751937984496
CCNE1	0.5007751937984496
CCDC68	0.5007751937984496
CCDC63	0.5007751937984496
CCDC33	0.5007751937984496
BCAS2P3	0.5007751937984496
BAHCC1	0.5007751937984496
ATP12A	0.5007751937984496
ATP10A	0.5007751937984496
ASXL3	0.5007751937984496
AL157756.1	0.5007751937984496
AL137781.1	0.5007751937984496
ACOX1	0.5007751937984496
ACE	0.5007751937984496
AC099518.3	0.5007751937984496
AC040173.2	0.5007751937984496
AC022308.1	0.5007751937984496
AC022031.2	0.5007751937984496
AC012409.2	0.5007751937984496
AC009387.1	0.5007751937984496
AC008125.1	0.5007751937984496
